no_id,temperature[c],humidity[%],tvoc[ppb],eco2[ppm],raw_h2,raw_ethanol,pressure[hpa],pm1.0,pm2.5,nc0.5,nc1.0,nc2.5,cnt,fire_alarm
51144,27.36,43.76,34,455,12857,20747,937.604,2.19,2.28,15.07,2.35,0.053,2,0
51147,27.22,44.09,19,449,12862,20754,937.583,2.29,2.38,15.78,2.46,0.056,5,0
51150,27.16,44.27,27,440,12861,20749,937.565,2.44,2.53,16.79,2.618,0.059,8,0
51153,27.14,44.46,25,441,12862,20751,937.565,2.4,2.49,16.48,2.57,0.058,11,0
51156,27.02,44.6,17,448,12858,20765,937.573,2.27,2.36,15.62,2.436,0.055,14,0
51159,26.95,44.77,11,431,12868,20772,937.575,2.15,2.24,14.82,2.311,0.052,17,0
51162,26.92,44.83,15,431,12861,20767,937.599,1.96,2.03,13.48,2.102,0.047,20,0
51165,28.33,44.79,0,402,12878,20785,937.603,1.94,2.02,13.36,2.083,0.047,23,0
51168,29.12,41.85,0,410,12873,20792,937.606,2.02,2.1,13.89,2.166,0.049,26,0
51171,29.42,40.3,18,420,12868,20775,937.609,1.96,2.04,13.5,2.106,0.048,29,0
51174,29.58,39.64,37,455,12867,20769,937.607,1.93,2.0,13.27,2.07,0.047,32,0
51177,29.72,39.23,22,425,12868,20773,937.587,1.97,2.04,13.54,2.111,0.048,35,0
3180,9.356,60.38,0,400,13388,20248,938.858,1.94,2.01,13.32,2.077,0.047,3180,1
3183,9.318,63.67,0,400,13464,20369,939.303,2.1,2.19,14.48,2.258,0.051,3183,1
3186,9.281,63.18,0,400,13466,20427,939.509,21.32,22.15,146.76,22.885,0.517,3186,1
3189,9.243,61.29,0,400,13447,20435,939.626,4.86,5.05,33.42,5.212,0.118,3189,1
3192,9.206,60.13,0,400,13427,20436,939.665,2.38,2.47,16.36,2.551,0.058,3192,1
3195,9.168,59.42,0,400,13418,20420,939.686,2.87,2.98,19.73,3.076,0.069,3195,1
3198,9.131,59.0,0,400,13405,20407,939.688,2.1,2.18,14.47,2.256,0.051,3198,1
3201,9.093,58.73,0,400,13381,20387,939.688,2.31,2.4,15.89,2.477,0.056,3201,1
3204,9.056,58.6,0,400,13367,20367,939.68,2.44,2.54,16.82,2.623,0.059,3204,1
3207,9.018,58.44,0,400,13362,20349,939.678,2.5,2.6,17.23,2.687,0.061,3207,1
3210,8.981,58.36,0,400,13340,20329,939.695,2.57,2.67,17.71,2.761,0.062,3210,1
3213,8.943,58.24,0,400,13327,20301,939.709,2.63,2.73,18.08,2.819,0.064,3213,1
3216,8.906,59.62,0,400,13303,20261,939.691,2.57,2.68,17.72,2.763,0.062,3216,1
3219,8.868,61.84,0,400,13300,20249,939.687,2.54,2.64,17.5,2.729,0.062,3219,1
3222,8.831,63.36,0,400,13286,20223,939.697,2.49,2.58,17.11,2.668,0.06,3222,1
3225,8.793,64.29,14,400,13276,20206,939.708,2.43,2.52,16.72,2.608,0.059,3225,1
3228,8.756,64.93,16,400,13273,20201,939.703,2.52,2.62,17.35,2.705,0.061,3228,1
3231,8.718,65.4,39,400,13257,20177,939.696,2.56,2.66,17.62,2.747,0.062,3231,1
3234,8.681,65.74,48,400,13262,20165,939.692,2.59,2.69,17.79,2.774,0.063,3234,1
3237,8.643,65.95,75,400,13248,20139,939.694,2.58,2.69,17.79,2.774,0.063,3237,1
3240,8.606,66.15,80,400,13243,20136,939.699,2.61,2.71,17.96,2.801,0.063,3240,1
3243,8.568,66.33,86,400,13235,20129,939.69,2.72,2.83,18.74,2.923,0.066,3243,1
3246,8.531,64.88,86,400,13243,20120,939.686,2.76,2.87,19.02,2.965,0.067,3246,1
3249,8.493,62.48,94,400,13240,20114,939.691,2.67,2.78,18.4,2.869,0.065,3249,1
3252,8.456,60.91,117,400,13233,20103,939.682,2.54,2.64,17.5,2.729,0.062,3252,1
3255,8.418,59.93,129,400,13224,20084,939.68,2.47,2.57,17.03,2.655,0.06,3255,1
3258,8.381,59.32,134,400,13220,20074,939.699,2.46,2.56,16.95,2.643,0.06,3258,1
3261,8.343,58.83,141,400,13221,20071,939.706,2.58,2.68,17.75,2.769,0.063,3261,1
3264,8.306,58.45,144,400,13211,20069,939.705,2.44,2.54,16.8,2.62,0.059,3264,1
3267,8.268,58.14,157,400,13209,20056,939.693,2.28,2.37,15.67,2.443,0.055,3267,1
3270,8.231,57.9,170,400,13207,20050,939.684,2.19,2.28,15.07,2.35,0.053,3270,1
3273,8.193,57.66,186,400,13199,20031,939.675,2.22,2.31,15.31,2.387,0.054,3273,1
3276,8.156,58.92,200,400,13177,20018,939.694,2.24,2.32,15.4,2.402,0.054,3276,1
3279,8.118,61.0,192,400,13184,20016,939.703,2.18,2.27,15.01,2.34,0.053,3279,1
3282,8.081,62.33,193,400,13190,20019,939.686,2.15,2.23,14.8,2.308,0.052,3282,1
3285,8.043,63.18,200,400,13184,20013,939.697,2.12,2.2,14.59,2.275,0.051,3285,1
3288,8.006,63.69,203,400,13180,20010,939.7,2.24,2.32,15.39,2.399,0.054,3288,1
3291,7.968,64.05,198,400,13193,20015,939.692,2.39,2.48,16.43,2.562,0.058,3291,1
3294,7.931,64.28,205,400,13180,20011,939.707,2.36,2.46,16.28,2.538,0.057,3294,1
3297,7.893,64.44,212,400,13178,20003,939.7,2.27,2.36,15.65,2.44,0.055,3297,1
3300,7.856,64.52,213,400,13182,20003,939.685,2.31,2.4,15.87,2.475,0.056,3300,1
3303,7.819,64.65,223,400,13176,19989,939.691,2.33,2.42,16.05,2.503,0.057,3303,1
3306,7.781,63.2,203,400,13189,20013,939.702,2.35,2.45,16.2,2.526,0.057,3306,1
3309,7.744,60.79,203,400,13188,20016,939.709,2.26,2.34,15.52,2.421,0.055,3309,1
3312,7.706,59.25,212,400,13184,19998,939.686,2.22,2.31,15.31,2.387,0.054,3312,1
3315,7.669,58.27,223,400,13178,20000,939.695,2.24,2.33,15.44,2.408,0.054,3315,1
3318,7.631,57.63,218,400,13180,19992,939.679,2.35,2.45,16.21,2.527,0.057,3318,1
3321,7.594,57.15,226,400,13174,19990,939.674,2.5,2.6,17.2,2.683,0.061,3321,1
