ts,temp,fire_alarm
2025-09-15T18:57:13.036712+09:00,9.1,1
2025-09-15T18:57:14.041453+09:00,9.1,1
2025-09-15T18:57:15.039021+09:00,9.1,1
2025-09-15T18:57:16.044166+09:00,9.0,1
2025-09-15T18:57:17.036482+09:00,9.0,1
2025-09-15T18:57:18.033976+09:00,8.9,1
2025-09-15T18:57:19.042593+09:00,8.9,1
2025-09-15T18:57:20.040208+09:00,8.9,1
2025-09-15T18:57:21.028306+09:00,8.8,1
2025-09-15T18:57:22.028025+09:00,8.8,1
2025-09-15T18:57:23.033139+09:00,8.8,1
2025-09-15T18:57:24.025753+09:00,8.7,1
2025-09-15T18:57:26.034814+09:00,8.6,1
2025-09-15T18:57:27.025718+09:00,8.6,1
2025-09-15T18:57:29.039411+09:00,8.5,1
2025-09-15T18:57:30.052832+09:00,8.5,1
2025-09-15T18:57:32.039284+09:00,8.4,1
2025-09-15T18:57:33.047180+09:00,8.4,1
2025-09-15T18:57:34.041695+09:00,8.3,1
2025-09-15T18:57:35.039765+09:00,8.3,1
2025-09-15T18:57:36.037403+09:00,8.3,1
2025-09-15T18:57:37.033192+09:00,8.2,1
2025-09-15T18:57:38.032860+09:00,8.2,1
2025-09-15T18:57:39.046481+09:00,8.2,1
2025-09-15T18:57:40.023295+09:00,8.1,1
2025-09-15T18:57:41.030811+09:00,8.1,1
2025-09-16T14:51:30.233998+09:00,8.5,1
2025-09-16T14:51:31.229168+09:00,8.4,1
2025-09-16T14:51:32.243172+09:00,8.4,1
2025-09-16T14:51:33.231378+09:00,8.3,1
2025-09-16T14:51:35.232524+09:00,8.3,1
2025-09-16T14:51:35.232524+09:00,8.3,1
2025-09-16T14:51:36.235211+09:00,8.2,1
2025-09-16T14:51:37.235969+09:00,8.2,1
2025-09-16T14:51:38.239538+09:00,8.2,1
2025-09-16T14:51:39.237632+09:00,8.1,1
2025-09-16T14:51:40.235030+09:00,8.1,1
2025-09-16T14:51:41.246419+09:00,8.0,1
2025-09-16T14:51:42.237839+09:00,8.0,1
2025-09-16T14:51:43.228166+09:00,8.0,1
2025-09-16T14:51:44.238877+09:00,7.9,1
2025-09-16T14:51:45.266095+09:00,7.9,1
2025-09-16T14:51:46.227489+09:00,7.9,1
2025-09-16T14:51:47.242205+09:00,7.8,1
2025-09-16T14:51:48.250121+09:00,7.8,1
2025-09-16T14:51:49.242934+09:00,7.7,1
2025-09-16T14:51:50.235979+09:00,7.7,1
2025-09-16T14:51:51.226331+09:00,7.7,1
2025-09-16T14:51:52.226694+09:00,7.6,1
2025-09-16T14:51:53.233587+09:00,7.6,1
2025-09-16T14:51:54.231512+09:00,27.4,0
2025-09-16T14:51:55.223410+09:00,27.2,0
2025-09-16T14:51:56.221005+09:00,27.2,0
2025-09-16T14:51:57.227625+09:00,27.1,0
2025-09-16T14:51:58.230842+09:00,27.0,0
2025-09-16T14:51:59.230587+09:00,27.0,0
2025-09-16T14:52:00.242699+09:00,26.9,0
2025-09-16T14:52:02.244839+09:00,29.1,0
2025-09-16T14:52:03.231245+09:00,29.4,0
2025-09-16T14:52:04.230454+09:00,29.6,0
2025-09-16T14:52:05.233209+09:00,29.7,0
2025-09-16T14:52:06.263110+09:00,9.4,1
2025-09-16T14:52:07.231258+09:00,9.3,1
2025-09-16T14:52:08.235603+09:00,9.3,1
2025-09-16T14:52:09.235162+09:00,9.2,1
2025-09-16T14:52:10.232546+09:00,9.2,1
2025-09-16T14:52:11.234329+09:00,9.2,1
2025-09-16T14:52:12.232360+09:00,9.1,1
2025-09-16T14:52:13.234060+09:00,9.1,1
2025-09-16T14:52:14.239673+09:00,9.1,1
2025-09-16T14:52:15.228833+09:00,9.0,1
2025-09-16T14:52:16.223413+09:00,9.0,1
2025-09-16T14:52:17.226603+09:00,8.9,1
