topic,temp,fire_alarm,ts
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.5,0,2025-09-15T18:47:15.574958+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.4,0,2025-09-15T18:47:15.589450+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.2,0,2025-09-15T18:47:16.565963+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.2,0,2025-09-15T18:47:16.574954+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.2,0,2025-09-15T18:47:16.582807+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.2,0,2025-09-15T18:47:17.562004+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.1,0,2025-09-15T18:47:17.573457+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.1,0,2025-09-15T18:47:18.565295+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.1,0,2025-09-15T18:47:18.604821+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.1,0,2025-09-15T18:47:18.610442+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.0,0,2025-09-15T18:47:19.578094+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.0,0,2025-09-15T18:47:19.565866+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.0,0,2025-09-15T18:47:19.584558+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.0,0,2025-09-15T18:47:20.577301+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,27.0,0,2025-09-15T18:47:20.567143+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,26.9,0,2025-09-15T18:47:21.566402+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,26.9,0,2025-09-15T18:47:21.573978+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,26.9,0,2025-09-15T18:47:21.579292+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,28.8,0,2025-09-15T18:47:22.570524+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,29.0,0,2025-09-15T18:47:22.583512+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,28.3,0,2025-09-15T18:47:22.588651+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,29.1,0,2025-09-15T18:47:23.582588+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,29.2,0,2025-09-15T18:47:23.564623+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,29.3,0,2025-09-15T18:47:23.575021+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,29.5,0,2025-09-15T18:47:24.565211+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,29.4,0,2025-09-15T18:47:24.590583+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,29.6,0,2025-09-15T18:47:25.587839+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,29.7,0,2025-09-15T18:47:25.580070+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,29.6,0,2025-09-15T18:47:25.566042+09:00
/oneM2M/req/Mobius2/Sa8nLClpskq/json,29.7,0,2025-09-15T18:47:26.561343+09:00
